# GENERATED by .agents/generate.py - do not edit by hand.
#
# The LinkML authoring vocabulary: every metamodel slot you may write in a schema,
# 236 of them. Query it, do not read it. Columns are tab-separated, so anchor
# on the column - a bare `grep basic` also matches every description with that word.
#
#   grep -P '^inlined\t' 900-metaslots.tsv                              # one slot
#   awk -F'\t' '$5 ~ /min|basic/ {print $1}' 900-metaslots.tsv          # everyday slots
#   awk -F'\t' '$2 ~ /class_definition/ {print $1}' 900-metaslots.tsv  # what a class carries
#
# tier: min/basic = commonly used, spec = in the formal specification,
# oo/rel = object-oriented / relational profiles only.
#
# used_on lists only classes declaring a slot directly. Classes also inherit every
# slot of their is_a/mixins ancestors, so class_definition does accept name and
# description even though those are declared on element.
#
# Presence here means the *metamodel* defines it, NOT that linkml-scala implements
# it. Check 200-limitations.md before relying on anything unusual.
#
# slot	used_on	range	cardinality	tier	description
readonly	slot_definition	string	single	-	If present, slot is read only. Text explains why
recommended	slot_expression	boolean	single	spec,basic	true means that the slot should be present in instances of the class definition, but this…
reflexive	slot_definition	string	single	spec	If s is reflexive, then i.s=i for all instances i
reflexive_transitive_form_of	slot_definition	string	single	spec	transitive_form_of including the reflexive case
related mappings	common_metadata	uriorcurie	multi	-	A list of terms from different schemas or terminology systems that have related meaning.
relational_logical_characteristic	slot_definition	boolean	single	-	An abstract grouping for metaslots that describe logical properties of a slot
relational_role	slot_definition	relational_role_enum	single	-	the role a slot on a relationship class plays, for example, the subject, object or predic…
relationship_types	reachability_query	uriorcurie	multi	spec	A list of relationship types (properties) that are used in a reachability query
repr	type_definition	string	single	spec,basic	the name of the python object that implements this type definition
represents_relationship	class_definition	boolean	single	-	true if this class represents a relationship rather than an entity
required	slot_expression	boolean	single	spec,min,basic,rel,oo	true means that the slot must be present in instances of the class definition
reversed	path_expression	boolean	single	-	true if the slot is to be inversed
role	slot_definition	string	single	-	a textual descriptor that indicates the role played by the slot range
rules	class_definition	class_rule	multi	spec	the collection of rules that apply to all members of this class
see_also	common_metadata	uriorcurie	multi	basic	A list of related entities or URLs that may be of relevance
setting_key	setting	ncname	single	spec	the variable name for a setting
setting_value	setting	string	single,required	spec	The value assigned for a setting
settings	schema_definition	setting	multi	spec	A collection of global variable settings
shared	slot_definition	boolean	single	spec	If True, then the relationship between the slot domain and range is many to one or many t…
singular_name	slot_definition	string	single	basic	a name that is used in the singular form
slot_conditions	class_expression	slot_definition	multi	spec	expresses constraints on a group of slots for a class expression
slot_definitions	schema_definition	slot_definition	multi	spec,basic	An index to the collection of all slot definitions in the schema
slot_group	slot_definition	slot_definition	single	spec,basic	allows for grouping of related slots into a grouping slot that serves the role of a group
slot_names_unique	schema_definition,class_definition	boolean	single	-	if true then induced/mangled slot names are not created for class_usage and attributes
slot_uri	slot_definition	uriorcurie	single	spec,basic	URI of the class that provides a semantic interpretation of the slot in a linked data con…
slot_usage	class_definition	slot_definition	multi	spec,basic	the refinement of a slot in the context of the containing class definition.
slots	class_definition	slot_definition	multi	spec,basic	collection of slot names that are applicable to a class
source	common_metadata	uriorcurie	single	basic	A related resource from which the element is derived.
source_file	schema_definition	string	single	basic	name, uri or description of the source of the schema
source_file_date	schema_definition	datetime	single	basic	modification date of the source of the schema
source_file_size	schema_definition	integer	single	basic	size in bytes of the source of the schema
source_nodes	reachability_query	uriorcurie	multi	spec	A list of nodes that are used in the reachability query
source_ontology	match_query,reachability_query	uriorcurie	single	spec	An ontology or vocabulary or terminology that is used in a query to obtain a set of permi…
status	common_metadata	uriorcurie	single	basic	status of the element
string_serialization	definition,type_mapping	string	single	spec	Used on a slot that stores the string serialization of the containing object. The syntax…
structured_aliases	common_metadata	structured_alias	multi	-	A list of structured_alias objects, used to provide aliases in conjunction with additiona…
structured_imports	schema_definition	import_expression	multi	-	A list of specifications for how to import elements from external schemas
structured_pattern	type_expression,slot_expression	pattern_expression	single	spec	the string value of the slot must conform to the regular expression in the pattern expres…
subclass_of	class_definition	uriorcurie	single	-	DEPRECATED -- rdfs:subClassOf to be emitted in OWL generation
subproperty_of	slot_definition	slot_definition	single	-	Ontology property which this slot is a subproperty of. Note: setting this property on a s…
subsets	schema_definition	subset_definition	multi	spec,basic	An index to the collection of all subset definitions in the schema
symbol	UnitOfMeasure	string	single	-	name of the unit encoded as a symbol
symmetric	slot_definition	string	single	spec	If s is symmetric, and i.s=v, then v.s=i
syntax	pattern_expression	string	single	spec	the string value of the slot must conform to this regular expression expressed in the str…
text	permissible_value	string	single	spec,basic	The actual permissible value itself
title	common_metadata	langstring	single	basic	A concise human-readable display label for the element. The title should mirror the name,…
todos	common_metadata	string	multi	basic	Outstanding issues that needs resolution
transitive	slot_definition	string	single	spec	If s is transitive, and i.s=z, and s.s=j, then i.s=j
transitive_form_of	slot_definition	slot_definition	single	spec	If s transitive_form_of d, then (1) s holds whenever d holds (2) s is transitive (3) d ho…
traverse	path_expression	slot_definition	single	-	the slot to traverse
traverse_up	reachability_query	boolean	single	spec	True if the direction of the reachability query is reversed and ancestors are retrieved
